State,Receipt,Pending
Andaman and Nicobar Islands,3939,140
Andhra Pradesh,94326,17851
Arunachal Pradesh,1624,232
Assam,72371,20673
Bihar,321365,44461
Chandigarh,35586,2741
Chhattisgarh,78308,2503
Dadra and Nagar Haveli,2043,76
Daman and Diu,1156,95
Delhi,473940,26846
Goa,9585,778
Gujarat,357574,25667
Haryana,242156,22510
Himachal Pradesh,35747,7854
Jammu and Kashmir,40352,5384
Jharkhand,101819,14566
Karnataka,240655,14907
Kerala,128968,4423
Ladakh,403,45
Lakshadweep,156,4
Madhya Pradesh,340954,19618
Maharashtra,560139,67465
Manipur,6008,666
Meghalaya,2554,371
Mizoram,1135,220
Nagaland,1286,168
NA,98249,1538
Odisha,92561,19120
Puducherry,8466,604
Punjab,133532,31317
Rajasthan,355724,8985
Sikkim,981,32
Tamilnadu,272552,12325
Telangana,119122,2770
Tripura,10530,572
Uttar Pradesh,1254960,40078
Uttarakhand,88176,5374
West Bengal,390041,48955
NA,36345,932
Total,6015388,472866
